Name,Content_Warning,Related_Mange,staff
Eyedrops Special Episode,,,
Gowapper 5 Godam,,,"Hisayuki Toriumi : Director, Bob Sakuma : Music, Yoshitaka Amano : Character Design, Tatsuo Yoshida : Producer, Kan Fukumoto : Animation Director"
Kyousougiga: Preview,,,
Titipo Titipo,,,
Wan Shen Ji,,,
Ghost Messenger Movie,,,
"7-Eleven: Tokimeki wa, Sugusoba ni.",,,Hiroshi Kawamata : Director
GOUACHE: RED,,,Gouache : Music
Furusato no Nai Aki,,,Seiichi Hayashi : Director
Bloomed Words,,,Amika Kubo : Director
Niji no Kanata e! Shoujo Diana Monogatari,,,Hidemi Kubo : Director
O-bake no... Holly,,,"Minoru Okazaki : Director, Edison : Music"
Samurai Flamenco,,Samurai Flamenco: Another Days,"Takahiro Oomori : Director, Kenji Tamai : Music, Yoshimitsu Yamashita : Character Design"
Silent Mobius: The Motion Picture,,"Silent Mobius, Silent Mobius Klein 0, Silent Mobius Tales, Silent Mobius QD","Kia Asamiya : Director & Character Design, Kaoru Wada : Music, Tooru Miura : Producer, Keishi Yamazaki : Producer"
Cyborg 009 (1968),,"Cyborg 009, Dynamic Superobot Wars: Super Robot Retsuden, Cyborg 009 - Trump Tower Hen, Cyborg 009: Kanketsu-hen Conclusion - God's War",Shotaro Ishinomori : Original Creator
Magical Sempai,,"Magical Sempai, Isekai Senpai: Tejina-senpai wa Kono Sekai de mo Ponkotsu na You Desu","Azu : Original Creator, Fumiaki Usui : Director, Takeshi Hama : Music, Eriko Itou : Character Design, Satsuki Utsumi : Producer"
Idaten Jump,,Idaten Jump,"Toshihiro Fujiwara : Original Creator, Takayuki Hamana : Director & Episode Director & Storyboard, Yasuharu Takanashi : Music, Miyako Yatsu : Character Design"
Monster Strike: The Fading Cosmos,,,"Teppei Sunamura : Original Creator, Takayuki Hamana : Director, Monaca : Music, Hiroya Iijima : Character Design, Kaoru Nishimura : Character Design"
Turn A Gundam II: Moonlight Butterfly,,"Turn A Gundam, Turn A Gundam: Wind of the Moon","Yoshiyuki Tomino : Director, Youko Kanno : Music, Akira Yasuda : Character Design, Shigemi Ikeda : Art Director, Satoshi Kubo : Producer, Yoshitaka Kawaguchi : Producer, Hiroyuki Hoshiyama : Screenplay"
Sword Art Online: Sword Art Offline,,"Sword Art Online (Light Novel), Sword Art Online: Aincrad, Sword Art Online 4-koma, Sword Art Online SS: Calibur SS-han (Light Novel), Sword Art Online: Fairy Dance, Sword Art Online Side Stories (Light Novel), Sword Art Online: Progressive (Light Novel), Sword Art Online Comic Anthology, Sword Art Online: Girls' Ops, Sword Art Online: Progressive, Sword Art Online Alternative: Gun Gale Online (Light Novel), Sword Art Online: Mother's Rosary, Sword Art Online: Phantom Bullet, Sword Art Online: Calibur, Sword Art Online Alternative: Gun Gale Online, Sword Art Online: Aincrad Night of Kirito, Sword Art Online Alternative: Clover's Regret (Light Novel), Sword Art Online: Project Alicization, Sword Art Online: Hollow Realization, Sword Art Online Iden: Kibaou-han!, Sword Art Online: Hopeful Chant (Light Novel), Sword Art Online: Ordinal Scale, Sword Art Online: Kirito no Gun Gale Wars, Sword Art Online: Progressive - Barcarolle of Froth, Sword Art Online: Kiss and Fly",
Mobile Police Patlabor Minimum: Minipato,,Mobile Police Patlabor,"Masami Yuuki : Original Creator, Kenji Kamiyama : Director, Kenji Kawai : Music, Tetsuya Nishio : Character Design, Atsushi Sugita : Producer, Masahiro Fukushima : Producer, Ryuji Mimoto : Producer"
rerulili: Fashion Kiru,,,Rerulili : Producer
UQiYO: Dry Dry Try,,,"Naoki Matsuura : Director, Uqiyo : Music"
Nekota no Koto ga Ki ni Natte Shikatanai.,,Nekota no Koto ga Ki ni Natte Shikatanai.,
He Wei Dao x Sword Art Online: Alicization,,,
Granblue Fantasy The Animation Season 2 Special,,,
Tokyo Underground,,Tokyo Underground,"Akinobu Uraku : Original Creator, Hayato Date : Director, Akifumi Tada : Music, Yuuji Moriyama : Character Design, Fukashi Azuma : Producer, Yasuhiro Takemoto : Episode Director & Storyboard, Masahiko Murata : Episode Director & Storyboard, Kunitoshi Okajima : Episode Director & Storyboard"
Denkou Chou Tokkyuu Hikarian,,,"Hideaki Ooba : Director, Yuuzou Hayashi : Music, Gaku Miyao : Character Design, Fukashi Azuma : Producer, Haruo Sai : Producer"
Rilakkuma: Ichigo,,,
Symphogear GX Specials,,"Senki Zesshou Symphogear, Senki Zesshou Symphogear GX Anthology Comic: Manga de Zesshou Symphogear",
ACTORS -Songs Connection-,,,"Osamu Yamasaki : Director, Hiroaki Tsutsumi : Music, Hideakira Kimura : Music, Tomotaka Oosumi : Music, Asako Nishida : Character Design"
The Day the Earth Moved,,,"Toshio Goto : Director, Takashi Saijo : Character Design, Sozabura Katsura : Producer"
"Grendizer, Getter Robo G, Great Mazinger: Kessen! Daikaijuu!",,"Getter Robo, UFO Robo Grendizer, Getter Robo Gou, Shin Getter Robo, Getter Robo Āḥ, Dynamic Superobot Wars: Super Robot Retsuden, Getter Robo Hien: The Earth Suicide, Mazinger Angel Z, Getter Robo Anthology: Shinka no Ishi, Shin Mazinger Zero, Mazinger Otome, Geki-man! Mazinger Z-hen, Getter Robo Devolution","Masayuki Akihi : Director, Shunsuke Kikuchi : Music, Chuumei Watanabe : Music, Shingo Araki : Character Design, Chiaki Imada : Producer"
Shirobako Specials,,Shirobako: Ueyama Koukou Animation Doukoukai,
Battle Spirits: Saikyou Ginga Ultimate Zero,,Battle Spirits: Sword Eyes,"Masaki Watanabe : Director, Eishi Segawa : Music, Tetsuya Ishikawa : Character Design"
Someday's Dreamers,,"Someday's Dreamers, Someday's Dreamers (Light Novel), Someday's Dreamers: Spellbound, Someday's Dreamers: Summer Skies","Norie Yamada : Original Creator, Masami Shimoda : Director, Takefumi Haketa : Music, Michinori Chiba : Character Design, Akio Matsuda : Producer, Satoshi Fujita : Producer, Shun Shimizu : Producer, Masaru Kouno : Producer"
Lalala Lala-chan: Patapata Daisensou,,,
Fojiao Donghua: Dashi Zhi Pusa Nianfo Yuantong Zhang,,,
The Treasures of the Desert,,,"Daisaku Ikeda : Original Creator, Tomoharu Katsumata : Director, Seiji Yokoyama : Music"
Bouken Shounen Shadar,,,
Hello Kitty In Puss in Boots,,,
Space Ace,,,"Tatsuo Yoshida : Original Creator, Hiroshi Sasagawa : Director, Akihiro Komori : Music, Taku Izumi : Music, Ippei Kuri : Character Design"
Night Wizard,,Night Wizard Variable Witch,"Takeshi Kikuchi : Original Creator, Yuusuke Yamamoto : Director, Tomoyuki Shitaya : Character Design, Kenta Suzuki : Producer, Yukihiro Miyamoto : Episode Director, Akira Takeuchi : Key Animator, Eiji Fukuyama : Key Animator"
Astro Boy: Ivan`s Planet,,,
The Peak,,,
Pocket no Naka de,,,
Alice Gear Aegis,,,"Hirokazu Hanai : Director, Zuntata : Music, Rikiya Okano : Character Design"
Matoi the Sacred Slayer Special,,,
Yu-Gi-Oh! Movie 2: Pyramid of Light,,"Yu-Gi-Oh!, Yu-Gi-Oh! Duelist, Yu-Gi-Oh! Millennium World, Yu-Gi-Oh! R, Yu-Gi-Oh! GX, Yu-Gi-Oh! 5D's, Yu-Gi-Oh! Zexal, Yu-Gi-Oh! Arc-V (Naohito MIYOSHI), Yu-Gi-Oh! Arc-V, Yu-Gi-Oh! Transcend Game","Kazuki Takahashi : Original Creator, Hatsuki Tsuji : Director & Character Design, Noriko Kobayashi : Producer, Naoki Sasada : Producer"
Kaakaa Karasu no Kanzaburou,,,
rerulili: Moonlight Embellishment Girl,,,Rerulili : Producer
Lapis Re:Lights,,"Lapis Re:LiGHTs - Watashitachi no Prelude, Lapis Re:LiGHTs","Hiroyuki Hata : Director, Satoshi Houno : Music, Tarou Ikegami : Character Design, Yuuichi Furuichi : Color Design, Keisuke Kaminaga : Producer, Keisuke Fukunaga : Producer, Yuuma Oogami : Producer, Kenjirou Yokoyama : Producer"
Alfred J. Quack,,,"Hiroshi Saito : Director, Susumu Shiraume : Character Design"
Nanami-chan 2nd Series,,,"Tatsutoshi Nomura : Director, Kuricorder Quartet : Music, Takuya Inaba : Character Design, Hisako Matsumoto : Producer"
Kakegurui Picture Drama,,Kakegurui: Compulsive Gambler,
Drifters: Kokuou-sama Goranshin OVA,,Drifters,
High School! Kimengumi Movie,,"High School! Kimengumi, Flash! Kimengumi",
Tales of the Rays Theater,,,
Happy Lesson OVA,,Happy Lesson,"Takeshi Yamaguchi : Director, Ikkou Toshida : Director, Hiroaki Shimura : Director, Hideki Tonokatsu : Director & Episode Director, Yasunori Iwasaki : Music, Kazuhiko Sawaguchi : Music, Yasuhisa Katou : Character Design, Saburou Oomiya : Producer"
Bus Gamer,,Bus Gamer,"Kazuya Minekura : Original Creator, Naoyuki Kuzuya : Director, Hiroyuki Nagashima : Music, Takahisa Ichikawa : Character Design, Mika Nomura : Producer, Hiroyuki Oomori : Producer, Takema Okamura : Producer, Tomio Yamauchi : Episode Director"
Air Master,,Air Master,"Yokusaru Shibata : Original Creator, Daisuke Nishio : Director, Yoshihisa Hirano : Music, Yoshihiko Umakoshi : Character Design, Manabu Tamura : Producer, Hiroshi Yamashita : Producer, Shigeru Nishiyama : Editor, Toshiaki Komura : Episode Director"
Transformers: Armada,,"Transformers: The Manga, Transformers: The New Battle!!","Hidehito Ueda : Director, Hayato Matsuo : Music, Jimajiroh Omote : Character Design, Yoshikazu Iwanami : Sound Director"
Adauchi Karasu,,,
Hetchara Heiki no Heihachirou,,,
Ken-chan,,,"Tadahiko Horiguchi : Director, Yuuki Kudou : Music"
Warenai Tamago,,,
Jiaoao de Jiangjun,,,Te Wei : Director
The [email protected]: Cinderella Girls Gekijou - 5 Shuunen Kinen Short Anime,,,
Canaan: Minorikawa Report 201X Shanghai,,,
X OVA: Episode 0,,"Tokyo Babylon, X/1999","Clamp : Original Creator, Yoshiaki Kawajiri : Director, Naoki Satou : Music, Yoshinori Kanemori : Character Design, Masao Maruyama : Producer, Jouichi Mizuno : Producer, Shinji Komori : Producer"
Diamond Daydreams Special,,,"Takehiko Gokita : Music, Chinori Ribami : Character Design"
Fudanshi Shoukan: Isekai de Shinjuu ni Hameraremashita Mini Anime,,Summoning a BL Fan to Another World,Moe Fujisaki : Original Creator
Tsurupika Hagemaru,,,
RobiHachi,,,"Taiga Umatani : Original Creator, Shinji Takamatsu : Director, Yuuko Yahiro : Character Design"
Aresuke,,,
Kin no Makiba (2003),,,"Osamu Sakai : Director, Taeko Oonuki : Music"
Cagaster of an Insect Cage,Violence,Cagaster,"Kachou Hashimoto : Original Creator, Kouichi Chigira : Director, Hitomi Kuroishi : Music, Akihiko Yamashita : Character Design, Tang Yunkang : Producer"
Neko Machi,,,
Kurozumi-P: Beatrice,,,Kurozumi-P : Producer
Karuizawa Syndrome,"Mature Themes,, Nudity,, Sexual Content",Karuizawa Syndrome,"Yoshihisa Tagami : Original Creator, Mizuho Nishikubo : Director, Shinsuke Kazato : Music"
Rilakkuma: Kiiroitori Diary,,,
Rilakkuma: Shiawase wo Yobu Kiiroitori Sennin,,,
March Comes in like a Lion: Ugoku! Nya Shogi,,,"Poeyama : Director & Key Animator & Storyboard, Kenichirou Yano : Screenplay, Ryou Sakata : Animation Director"
Pinocchio-P: Naizou Arimasuka,,,Pinocchio-P : Producer
Harukanaru Toki no Naka de 3: Owari Naki Unmei,,"Haruka: Beyond the Stream of Time, Harukanaru Toki no Naka de 4, Harukanaru Toki no Naka de 5","Tooko Mizuno : Original Creator, Shigeru Kimiya : Director, Yoshihisa Hirano : Music, Kenichi Oonuki : Character Design, Aki Tsunaki : Character Design, Kyouko Kotani : Character Design"
Duel Masters King,,,"Hiroshi Ishiodori : Director, Junichi Igarashi : Music, Yasuyuki Noda : Character Design"
Tari Tari Special,,Tari Tari,
Overman King Gainer,,Overman King Gainer,"Yoshiyuki Tomino : Chief Director, Kouhei Tanaka : Music, Yoshihiro Nakamura : Character Design, Kenichi Yoshida : Character Design, Kinu Nishimura : Character Design, Shigemi Ikeda : Art Director, Michiko Suzuki : Producer, Jun Yukawa : Producer"
Mighty Space Miners,,,"Umanosuke Iida : Director, Kenji Kawai : Music, Toshihiro Kawamoto : Character Design, Junichi Taniguchi : Art Director, Mitsuo Iso : Key Animator"
Armored Trooper Votoms: Big Battle,,Armored Trooper Votoms,"Toshifumi Takizawa : Chief Director, Ryousuke Takahashi : Director, Hiroki Inui : Music, Norio Shioyama : Character Design, Kazuko Suzuki : Background Artist"
Ha-P,Nudity,,Hiroco Ichinose : Director
Angelique: Seichi yori Ai wo Komete,,"Angelique, Neo Angelique",
Dr. Slump: Arale-chan Special,,"Dr. Slump, Chotto Kaettekita Dr. Slump",Akira Toriyama : Original Creator
HameFura: Catarina Nounai Kaigi,,"My Next Life as a Villainess: All Routes Lead to Doom! (Light Novel), My Next Life as a Villainess: All Routes Lead to Doom!, My Next Life as a Villainess: All Routes Lead to Doom! Girls Patch",
Yaiyai Mori no Comic,,,
Minna no Umi,,,
NETWORKS: Sizq,,,"Kouhei Yoshino : Director, Networks : Music"
Pompo: The Cinéphile CM,,Pompo: The Cinéphile,
PJ Berri no Mogumogu Munyamunya,,,
Hangyodon: Hadaka no Ou-sama,,,
Mobile Suit Gundam Battlefield Record: Avant-Title,,,"Kou Matsuo : Director, Tatsuya Suzuki : Character Design, Hirofumi Inagaki : Producer"
Wakaba*Girl,,Wakaba*Girl,"Yui Hara : Original Creator, Masaharu Watanabe : Director, Kana Ishida : Character Design, Hiroyuki Kobayashi : Producer, Mitsutoshi Ogura : Producer, Asuka Yamazaki : Producer, Satoshi Fukao : Producer, Kazuhiro Kanemitsu : Producer"
Handsome Kenya: Kesshin Sokudo,,,"Kousuke Sugimoto : Director, Handsome Kenya : Music"
Pokemon XY&Z: Subete no Nazo wo Tokiakase!,,"Pokemon the Movie XY&Z: Volcanion to Karakuri no Magiana, Pokemon Horizon: Sun & Moon",
Crush Gear Nitro,,,"Hideharu Iuchi : Director, Takayuki Negishi : Music"
Nanocore,,,
Fate/Kaleid Liner Prisma Illya 3rei!! Special,,"Fate/Stay Night, Fate/Zero (Light Novel), Fate/Tiger Colosseum Upper, Fate/Kaleid Liner Prisma Illya, Fate/Kaleid Liner Prisma Illya 2wei!, Fate/Kaleid Liner Prisma Illya 3rei!!, Fate/Prototype: Soukan no Fragments (Light Novel), Fate/Kaleid Liner Prisma Illya (Light Novel), Fate/Gudaguda Order, Fate/Labyrinth (Light Novel), Fate/Apocrypha, Fate/Ixtella",
Kanokon: The Girl Who Cried Fox Specials,Nudity,"Kanokon (Light Novel), Kanokon",
Galaxy Express 999: Can You Live Like A Warrior?,,Galaxy Express 999,"Shuji Iuchi : Director, Nobutaka Nishizawa : Director, Masayuki Akihi : Director, Tomonori Kogawa : Chief Animation Director"
UQiYO: loTus,,,"Takuto Katayama : Director, Uqiyo : Music, Yuutarou Kubo : Key Animator"
Bleach: Jump Festa 2008 Special,,Bleach,Tite Kubo : Original Creator
Unico: Kuroi Kumo to Shiroi Hane,,Unico,"Osamu Tezuka : Original Creator, Toshio Hirata : Director, Yukihide Takekawa : Music, Mickie Yoshino : Music, Shintaro Tsuji : Producer, Susumu Aketagawa : Producer"
Roboteuwang Sseonsyakeu,,,
Lizard Planet,,,Tomoyoshi Joko : Director
Submarine 707R,,Submarine 707,"Satoru Ozawa : Original Creator, Shoichi Masuo : Director, Minoru Murao : Character Design, Jun Takagi : Character Design, Hideaki Anno : Op Director"
Ishifuro: Tell Me (2018),,,Ishifuro : Producer
Kagaku Ninya-tai Gatchanyan,,,
Fujinkoron CM: Fujinkoron-senpai,,,
"Susume, Karolina",,,"Mateusz Urbanowicz : Director, Natsuki Yamada : Character Design, Taiki Konno : Key Animator"
Shomin Sample Specials,,"Shomin Sample: I Was Abducted by an Elite All-Girls School as a Sample Commoner (Light Novel), Shomin Sample: I Was Abducted by an Elite All-Girls School as a Sample Commoner, Ore ga Ojou-sama Gakkou ni Shomin Sample to Shite Spin-off Sareta Ken",
Ijou Seibutsu Kenbunroku,,"The Record of Unusual Creatures (Novel), The Record of Unusual Creatures",
Pokemon XY: Sora no Hahen,,"Pokemon: The Electric Tale of Pikachu, Pokémon Adventures, Magical Pokemon Journey, Pokémon: Diamond and Pearl Adventure!, Pokemon Mystery Dungeon: Ginji's Rescue Team, Pokemon Ranger and the Temple of the Sea, Pokemon: The Rise of Darkrai, Pokemon Ranger Batonnage, Kaitou! Pokemon 7, Pokemon the Movie: White - Victini and Zekrom, Pokemon + Nobunaga no Yabou - Ranse Iroemaki, Pokémon: Diancie and the Cocoon of Destruction, Pokémon: Omega Ruby & Alpha Sapphire, Pokemon the Movie: Hoopa and the Clash of Ages, Pokemon the Movie XY&Z: Volcanion to Karakuri no Magiana, Pokemon Horizon: Sun & Moon, Pokémon: Sun & Moon, Pokémon the Movie: I Choose You!",
Encouragement of Climb 2 Specials,,"Encouragement of Climb, Encouragement of Climb. Comic Anthology",Siro : Original Creator
Hoshi no Yuuenchi,,,"Nobuhiro Aihara : Director, Kouichi Hirai : Music"
Sumikko Gurashi: Tokage no Yume,,,
Oni no Ko to Yuki Usagi,,,
Omakase Mamitasu,,,Mitsuo Hashimoto : Director
Komaneko’s Christmas: The Lost Gift,,,Tsuneo Goda : Director & Character Design & Original Creator
Tayo the Little Bus 4,,,
Nangoku Shounen Papuwa-kun,,"Nangoku Shounen Papuwa-kun, Papuwa","Ami Shibata : Original Creator, Masahiro Hosoda : Director, Jun Takagi : Director, Nobuyuki Nakamura : Music, Kei Takeuchi : Character Design, Akira Takeuchi : Character Design, Kenji Oota : Producer"
Love Live! School Idol Project 2 Recap,,Love Live! Sunshine!! Maru no Yon Koma,
Norakuro Ittouhei,,Norakuro Series,"Suihou Tagawa : Original Creator, Mitsuyo Seo : Director"
Kumo,,,Akira Maeda : Director
Majime ni Fumajime Kaiketsu Zorori,,,"Mitsuko Kase : Director, Hajime Kamegaki : Director, Tsutomu Shibayama : Director, Kouhei Tanaka : Music, Hideyuki Funakoshi : Character Design, Mikihiro Iwata : Producer"
My Girlfriend is Shobitch OVA,"Nudity,, Sexual Content",Boku no Kanojo ga Majime Sugiru Shojo Bitch na Ken,"Namiru Matsumoto : Original Creator, Nobuyoshi Nagayama : Director, Shunsuke Takizawa : Music, Shouko Yasuda : Character Design, Takashi Tachizaki : Producer, Junichirou Tamura : Producer"
Freezing Specials,Explicit Sex,"Freezing, Freezing: First Chronicle, Freezing Tokuten Manga, Freezing: Zero, Freezing: Second Season, Freezing: Pair Love Stories",Dal-Young Im : Original Creator
Hyakunengo no Aru Hi,,,Shigeji Ogino : Director
Kando≠Reduction,,,
Tokyo Disney Resort: Yume ga Kanau Basho,,,Mizuho Nishikubo : Director
Phantom: Requiem for the Phantom Picture Drama,,,
Samurai Warriors: Legend of the Sanada,,,"Koujin Ochi : Director, Kensuke Inage : Music, Aki Tsunaki : Character Design, Kazuhiro Asou : Producer, Nobuyuki Hosoya : Producer, Osamu Saegusa : Producer, Tomonori Kogawa : Animation Director, Yoshio Usuda : Animation Director & Key Animator"
Chikara to Onna no Yononaka,,,"Kenzo Masaoka : Director, Mitsuyo Seo : Key Animator"
84 Taekwon V,,,
Kyoufu no Kyou-chan,,,
Denwa Kakumei Naisen,,,
FAKE TYPE. Urban Caravan,,,Fake Type. : Music
Ojamajo Doremi,,"Ojamajo Doremi, Ojamajo Doremi 16 (Light Novel), Ojamajo Doremi 17 (Light Novel), Ojamajo Doremi 18 (Light Novel), Ojamajo Doremi 19 (Light Novel), Ojamajo Doremi 20’s (Light Novel)","Toei Animation : Original Creator, Junichi Satou : Director, Takuya Igarashi : Director, Keiichi Oku : Music, Yoshihiko Umakoshi : Character Design, Kanako Arai : Producer"
Never giving up!,,,
Neru: Enmei Chiryou,,,Neru : Producer
Maken-ki! Two: Takeru Nyotaika!? Minami no Shima de Supoon,,Maken-Ki!,"Akio Takami : Character Design, Yoshikazu Iwanami : Sound Director, Naoshi Imamoto : Producer"
Neko Nanka Yonde mo Konai.,,Neko nanka Yondemo Konai.,Sugisaku : Original Creator
"Okoshiyasu, Chitose-chan",,"Okoshiyasu, Chitose-chan","Kyou Yatate : Director, Koguma : Music"
Lupin III 3DCG,,"Lupin III, Lupin Kozou",
